File,Unwrap_Count,Expect_Count,Panic_Count,Total_Panic_Points
src/di/providers/database_provider.rs,0,14,1,15
src/di/providers/config_provider.rs,26,0,0,26
src/di/providers/search_provider.rs,0,7,3,10
src/di/providers/file_provider.rs,1,7,2,10
src/di/providers/security_provider.rs,8,3,0,11
src/shared/utils/logger.rs,5,0,0,5
src/shared/utils/patterns/circuit_breaker.rs,1,0,0,1
src/shared/utils/atomic_fs.rs,8,0,0,8
src/shared/utils/path.rs,1,0,0,1
src/shared/utils/retry.rs,3,0,0,3
src/shared/error/tests.rs,5,0,3,8
src/shared/domain_types.rs,37,4,0,41
src/application/dtos/settings/mod.rs,4,0,0,4
src/application/dtos/indexing_dto.rs,8,0,0,8
src/application/dtos/file_dto.rs,13,0,0,13
src/application/dtos/function_calling_dto.rs,3,0,0,3
src/application/dtos/conversation_dto.rs,10,0,0,10
src/application/dtos/tag_dto.rs,8,0,0,8
src/application/dtos/qa_dto.rs,6,0,0,6
src/application/dtos/document_dto.rs,8,0,0,8
src/application/dtos/initialization_dto.rs,4,0,0,4
src/application/dtos/search_dto.rs,8,0,0,8
src/application/factories/checksum_factory.rs,24,0,0,24
src/application/factories/file_metadata_factory.rs,10,0,0,10
src/application/mappers/tag_mapper.rs,1,0,0,1
src/application/mappers/document_mapper.rs,24,0,0,24
src/application/mappers/conversation_mapper.rs,1,0,0,1
src/application/mappers/search_mapper.rs,1,0,0,1
src/application/use_cases/metrics/get_metrics_use_case.rs,6,0,0,6
src/application/use_cases/settings/get_settings.rs,4,0,0,4
src/application/use_cases/settings/validate_settings.rs,1,0,0,1
src/application/use_cases/settings/export_settings.rs,1,0,0,1
src/application/use_cases/settings/reset_settings.rs,11,0,0,11
src/application/use_cases/settings/update_settings.rs,3,0,0,3
src/application/use_cases/llm/get_best_model.rs,7,0,1,8
src/application/use_cases/llm/get_system_capabilities.rs,13,0,0,13
src/application/use_cases/llm/get_model_path.rs,4,0,4,8
src/application/use_cases/llm/delete_model.rs,6,0,3,9
src/application/use_cases/llm/check_model_downloaded.rs,8,0,4,12
src/application/use_cases/llm/get_recommended_models.rs,8,0,1,9
src/application/use_cases/llm/get_available_models.rs,11,0,0,11
src/application/use_cases/llm/list_models.rs,9,0,0,9
src/application/use_cases/cache/get_cache_size_use_case.rs,7,0,0,7
src/application/use_cases/cache/get_cache_stats_use_case.rs,6,0,0,6
src/application/use_cases/file/read_file_content.rs,1,0,0,1
src/application/use_cases/file/get_file_path_by_id.rs,2,0,0,2
src/application/use_cases/file/open_file_by_id.rs,3,0,0,3
src/application/use_cases/file/get_file_metadata.rs,1,0,0,1
src/application/use_cases/file/show_in_folder.rs,3,0,0,3
src/application/use_cases/file/open_file.rs,3,0,0,3
src/application/use_cases/web/ingest_web_url.rs,5,0,3,8
src/application/use_cases/web/clean_article_content.rs,3,0,3,6
src/application/use_cases/web/get_url_preview.rs,6,0,2,8
src/application/use_cases/favorites/is_favorite.rs,3,0,0,3
src/application/use_cases/favorites/remove_favorite.rs,6,0,0,6
src/application/use_cases/favorites/add_favorite.rs,5,0,0,5
src/application/use_cases/favorites/list_favorites.rs,2,0,0,2
src/application/use_cases/health/health_check.rs,6,0,0,6
src/application/use_cases/embedding/generate_single_embedding.rs,3,0,4,7
src/application/use_cases/embedding/get_model_info.rs,7,0,0,7
src/application/use_cases/embedding/generate_batch_embeddings.rs,4,0,5,9
src/application/use_cases/mentions/extract_mentions_use_case.rs,3,0,0,3
src/application/use_cases/mentions/search_mentions_use_case.rs,3,0,0,3
src/application/use_cases/mentions/update_mention_use_case.rs,8,0,3,11
src/application/use_cases/mentions/get_mentions_for_document_use_case.rs,5,0,1,6
src/application/use_cases/mentions/get_mentions_by_type_use_case.rs,3,0,0,3
src/application/use_cases/mentions/get_backlinks_use_case.rs,6,0,0,6
src/application/use_cases/mentions/create_mention_use_case.rs,5,0,3,8
src/application/use_cases/mentions/delete_mention_use_case.rs,7,0,2,9
src/application/use_cases/updates/check_for_updates_use_case.rs,6,0,1,7
src/application/use_cases/updates/get_current_version_use_case.rs,8,0,0,8
src/application/use_cases/initialization/initialize_database.rs,9,1,0,10
src/application/use_cases/initialization/first_run_setup.rs,16,0,0,16
src/application/use_cases/initialization/initialize_models.rs,4,0,0,4
src/application/use_cases/function_calling/execute_function.rs,13,0,0,13
src/application/use_cases/function_calling/list_available_functions.rs,10,0,0,10
src/application/use_cases/tags/remove_tag.rs,3,0,0,3
src/application/use_cases/tags/generate_tags.rs,1,0,0,1
src/application/use_cases/tags/update_tag.rs,2,0,0,2
src/application/use_cases/tags/delete_tag.rs,3,0,0,3
src/application/use_cases/tags/create_tag.rs,1,0,0,1
src/application/use_cases/tags/apply_tags.rs,3,0,0,3
src/application/use_cases/tags/auto_tag_all.rs,1,0,0,1
src/application/use_cases/tags/get_tags.rs,5,0,0,5
src/application/use_cases/tags/search_by_tag.rs,4,0,0,4
src/application/use_cases/search/recency_search.rs,2,0,0,2
src/application/use_cases/search/file_search.rs,4,0,0,4
src/application/use_cases/search/semantic_search.rs,3,0,0,3
src/application/use_cases/batch/delete_batch_job.rs,3,0,0,3
src/application/use_cases/batch/start_batch_url_import.rs,2,0,0,2
src/application/use_cases/batch/start_batch_file_import.rs,15,0,2,17
src/application/use_cases/batch/cancel_batch_job.rs,3,0,0,3
src/application/use_cases/batch/get_batch_job_status.rs,2,0,0,2
src/application/use_cases/batch/retry_failed_items.rs,2,0,0,2
src/application/use_cases/batch/get_batch_file_status.rs,5,0,2,7
src/application/use_cases/batch/list_batch_jobs.rs,6,0,0,6
src/application/use_cases/indexing/index_file.rs,11,0,0,11
src/application/use_cases/indexing/reindex_document.rs,17,0,0,17
src/application/use_cases/backup/create_backup_use_case.rs,6,0,2,8
src/application/use_cases/backup/restore_backup_use_case.rs,8,0,3,11
src/application/use_cases/backup/list_backups_use_case.rs,8,0,1,9
src/application/use_cases/extraction/resolve_wikilink.rs,7,0,0,7
src/application/use_cases/extraction/extract_document_title.rs,7,0,0,7
src/application/use_cases/extraction/parse_wikilinks.rs,7,0,0,7
src/application/use_cases/extraction/extract_and_resolve_links.rs,15,0,0,15
src/application/use_cases/credentials/get_api_key_use_case.rs,9,0,1,10
src/application/use_cases/credentials/delete_api_key_use_case.rs,5,0,1,6
src/application/use_cases/credentials/set_api_key_use_case.rs,7,0,1,8
src/application/use_cases/credentials/set_custom_endpoint_use_case.rs,2,0,1,3
src/application/use_cases/conversation/list_conversations.rs,4,0,0,4
src/application/use_cases/conversation/rename_conversation.rs,1,0,2,3
src/application/use_cases/conversation/get_conversation.rs,4,0,0,4
src/application/use_cases/conversation/create_conversation.rs,2,0,0,2
src/application/use_cases/conversation/delete_conversation.rs,1,0,1,2
src/application/use_cases/conversation/get_conversation_messages.rs,4,0,1,5
src/application/use_cases/model_management/download_default_model.rs,6,0,0,6
src/application/use_cases/recent/get_recent_documents.rs,2,0,0,2
src/application/use_cases/recent/clear_recent_history.rs,3,0,0,3
src/application/use_cases/recent/track_access.rs,4,0,0,4
src/application/ports/model_catalog_old.rs,8,0,0,8
src/application/ports/system_info.rs,7,0,0,7
src/application/ports/settings_port.rs,6,0,0,6
src/application/ports/model_storage.rs,9,0,2,11
src/application/ports/mock_embedding_port.rs,1,0,0,1
src/application/ports/model_catalog.rs,8,0,0,8
src/application/services/conversation_summarizer.rs,1,0,0,1
src/application/services/context_window_builder.rs,1,0,0,1
src/infrastructure/system_info_adapter.rs,3,0,0,3
src/infrastructure/model_catalog_cache.rs,1,0,0,1
src/infrastructure/llm/factory.rs,2,0,0,2
src/infrastructure/llm/types.rs,1,0,0,1
src/infrastructure/llm/ollama_client.rs,7,0,0,7
src/infrastructure/llm/inference/engine.rs,0,1,0,1
src/infrastructure/llm/model_catalog_adapter.rs,5,0,0,5
src/infrastructure/security/rate_limiter.rs,4,0,0,4
src/infrastructure/security/keyring_storage.rs,8,0,0,8
src/infrastructure/security/credentials_adapter.rs,21,0,0,21
src/infrastructure/security/json_validator.rs,1,0,0,1
src/infrastructure/security/mod.rs,12,0,0,12
src/infrastructure/security/input_validator_tests.rs,12,0,0,12
src/infrastructure/security/input_validator.rs,1,0,0,1
src/infrastructure/security/migration.rs,11,0,0,11
src/infrastructure/security/path_validator.rs,4,0,0,4
src/infrastructure/web/ingestion/extractor.rs,3,0,0,3
src/infrastructure/web/ingestion/types.rs,32,0,0,32
src/infrastructure/web/ingestion/fetcher_security_tests.rs,2,0,0,2
src/infrastructure/web/ingestion/mod.rs,3,0,0,3
src/infrastructure/web/ingestion/fetcher.rs,4,0,0,4
src/infrastructure/web/article_detector.rs,27,0,0,27
src/infrastructure/setup/app.rs,4,0,0,4
src/infrastructure/huggingface_adapter.rs,4,0,0,4
src/infrastructure/file_system/file_system_adapter.rs,13,0,0,13
src/infrastructure/file_system/file_storage.rs,20,8,0,28
src/infrastructure/qa/tokenizer.rs,5,0,0,5
src/infrastructure/updates/update_checker_adapter.rs,1,0,0,1
src/infrastructure/storage/content_addressed_storage.rs,32,0,0,32
src/infrastructure/search/query_expansion/dictionaries/user_synonyms.rs,6,0,0,6
src/infrastructure/search/query_expansion/expander.rs,9,0,0,9
src/infrastructure/search/service_tests.rs,23,0,0,23
src/infrastructure/search/bm25.rs,6,0,0,6
src/infrastructure/search/index_tests.rs,57,0,0,57
src/infrastructure/search/profiler.rs,1,0,0,1
src/infrastructure/search/fusion.rs,3,0,0,3
src/infrastructure/adapters/fs/system_file_system.rs,1,0,0,1
src/infrastructure/system/system_info_adapter.rs,1,0,0,1
src/infrastructure/model_cache_adapter.rs,22,4,0,26
src/infrastructure/audit/sinks/sqlite.rs,18,0,0,18
src/infrastructure/audit/sinks/memory.rs,12,0,0,12
src/infrastructure/audit/event.rs,3,0,0,3
src/infrastructure/audit/mod.rs,1,0,0,1
src/infrastructure/ml/tests.rs,12,0,0,12
src/infrastructure/ml/onnx_embedding_service.rs,6,13,0,19
src/infrastructure/persistence/database/schema_validation.rs,30,0,0,30
src/infrastructure/persistence/database/query_tests.rs,33,0,0,33
src/infrastructure/persistence/download_repository.rs,9,0,0,9
src/infrastructure/persistence/backup_adapter.rs,67,0,0,67
src/infrastructure/persistence/repositories/tag_repository.rs,46,0,0,46
src/infrastructure/persistence/repositories/chunk_repository.rs,23,0,0,23
src/infrastructure/persistence/repositories/favorites_repository.rs,20,0,0,20
src/infrastructure/persistence/repositories/settings_repository.rs,39,1,0,40
src/infrastructure/persistence/repositories/conversation_repository.rs,38,0,0,38
src/infrastructure/persistence/repositories/mention_repository.rs,10,4,0,14
src/infrastructure/persistence/repositories/mocks.rs,5,0,0,5
src/infrastructure/persistence/repositories/sqlite_model_repository.rs,5,0,0,5
src/infrastructure/persistence/repositories/traits.rs,1,0,0,1
src/infrastructure/persistence/repositories/recent_documents_repository.rs,35,0,0,35
src/infrastructure/persistence/mappers/tag_mapper.rs,6,0,0,6
src/infrastructure/persistence/mappers/embedding_mapper.rs,1,0,0,1
src/infrastructure/persistence/mappers/conversation_mapper.rs,4,0,0,4
src/infrastructure/indexing/indexer_tests.rs,42,0,0,42
src/infrastructure/indexing/transaction.rs,8,0,0,8
src/infrastructure/indexing/events.rs,1,0,0,1
src/infrastructure/indexing/chunker_test.rs,31,2,0,33
src/infrastructure/indexing/chunker.rs,3,1,0,4
src/infrastructure/indexing/tests/test_contextual_retrieval.rs,9,0,0,9
src/infrastructure/indexing/tests/test_integration.rs,5,0,0,5
src/infrastructure/indexing/queue.rs,7,0,0,7
src/infrastructure/indexing/storage/checksum.rs,5,0,0,5
src/infrastructure/indexing/progress.rs,2,0,0,2
src/infrastructure/indexing/actor.rs,6,1,0,7
src/infrastructure/indexing/error_ext.rs,1,0,0,1
src/infrastructure/indexing/extraction/html.rs,14,0,0,14
src/infrastructure/indexing/extraction/mime.rs,3,0,0,3
src/infrastructure/indexing/extraction/text.rs,4,0,0,4
src/infrastructure/indexing/extraction/csv.rs,6,0,0,6
src/infrastructure/indexing/metadata_extractor.rs,2,0,0,2
src/infrastructure/events/download_events.rs,2,0,0,2
src/infrastructure/extraction/tag_generator.rs,3,0,0,3
src/infrastructure/extraction/link_parser.rs,1,0,0,1
src/infrastructure/services/mocks/mock_web.rs,0,10,0,10
src/infrastructure/services/mocks/mock_conversation.rs,18,0,0,18
src/infrastructure/services/mocks/mock_search.rs,48,0,0,48
src/infrastructure/services/mocks/mock_indexing.rs,31,0,0,31
src/infrastructure/services/mocks/mock_model.rs,7,0,0,7
src/infrastructure/services/mocks/mock_tag.rs,21,0,0,21
src/infrastructure/services/mocks/mock_mention.rs,31,0,0,31
src/infrastructure/services/mocks/mock_function.rs,9,0,0,9
src/infrastructure/services/mocks/mock_web_archive.rs,14,0,1,15
src/infrastructure/services/mocks/mock_context.rs,3,0,0,3
src/infrastructure/services/mocks/mock_web_capture.rs,5,6,0,11
src/infrastructure/services/download_manager.rs,14,0,0,14
src/infrastructure/services/tag_service.rs,2,1,0,3
src/infrastructure/services/file_cleanup.rs,11,0,1,12
src/infrastructure/services/hyde/document_retriever.rs,9,0,0,9
src/infrastructure/services/hyde/hyde_service.rs,15,0,2,17
src/infrastructure/services/hyde/hyde_generator.rs,9,0,2,11
src/infrastructure/services/hyde/query_classifier.rs,0,3,0,3
src/infrastructure/services/validated_path.rs,5,0,0,5
src/infrastructure/services/traits/batch_file_import.rs,3,0,0,3
src/infrastructure/services/traits/mention.rs,3,0,0,3
src/infrastructure/services/traits/article_extractor.rs,5,0,0,5
src/infrastructure/services/traits/document.rs,1,0,0,1
src/infrastructure/services/traits/batch_url_import.rs,8,0,0,8
src/infrastructure/services/conversation_service.rs,28,0,0,28
src/infrastructure/services/context_manager.rs,10,0,0,10
src/infrastructure/services/file_storage/tests.rs,37,0,0,37
src/infrastructure/services/conversational_qa_service.rs,5,0,0,5
src/infrastructure/services/function_executor.rs,4,0,0,4
src/infrastructure/services/batch_file_import.rs,11,0,0,11
src/infrastructure/services/search_enrichment_service.rs,2,0,0,2
src/infrastructure/services/web_service.rs,13,0,0,13
src/infrastructure/services/web_ingestion.rs,3,0,0,3
src/infrastructure/services/article_extractor.rs,18,0,0,18
src/infrastructure/services/custom_model/architecture_inference_service.rs,2,0,0,2
src/infrastructure/services/custom_model/url_validation_service.rs,6,1,0,7
src/infrastructure/services/file_type_detector.rs,3,0,0,3
src/infrastructure/services/download_engine.rs,12,1,0,13
src/infrastructure/services/batch_url_import.rs,7,0,0,7
src/infrastructure/services/web_archive_service.rs,4,0,0,4
src/infrastructure/services/function_registry.rs,7,0,0,7
src/infrastructure/services/web_capture.rs,5,0,0,5
src/domain/custom_model.rs,12,0,0,12
src/domain/conversation.rs,3,0,0,3
src/domain/download.rs,19,0,0,19
src/domain/metadata.rs,3,0,0,3
src/domain/value_objects/search_mode.rs,2,0,0,2
src/domain/value_objects/search_query.rs,19,0,0,19
src/domain/value_objects/checksum.rs,11,0,0,11
src/domain/value_objects/file_metadata.rs,14,0,0,14
src/domain/value_objects/chunking_strategy.rs,3,0,0,3
src/domain/curated_models.rs,3,0,0,3
src/domain/repositories/mocks.rs,1,0,0,1
src/domain/model_file_validator.rs,30,0,0,30
src/domain/model_management.rs,10,0,0,10
src/domain/model_paths.rs,2,0,0,2
src/domain/events/mod.rs,3,0,0,3
src/domain/web_archive.rs,29,0,0,29
src/domain/function_call.rs,2,0,0,2
src/domain/services/search_ranking_service.rs,2,0,0,2
src/domain/entities/chunk.rs,2,0,0,2
src/domain/entities/search_result.rs,2,0,0,2
src/domain/entities/embedding.rs,2,0,0,2
src/domain/entities/tag.rs,16,0,0,16
src/domain/entities/mention.rs,6,0,0,6
src/domain/entities/document.rs,2,0,0,2
src/domain/model_catalog.rs,1,0,0,1
src/interfaces/di/mod.rs,34,0,0,34
src/interfaces/di/tests.rs,54,9,0,63
src/interfaces/di/container.rs,5,2,0,7
src/interfaces/commands/downloads.rs,1,0,0,1
src/interfaces/commands/document_list.rs,4,1,0,5
src/interfaces/commands/hf_settings.rs,6,0,0,6
src/interfaces/commands/config.rs,38,0,0,38
src/interfaces/commands/command_tests.rs,6,0,0,6
src/interfaces/commands/model_setup.rs,6,0,0,6
src/interfaces/commands/model_management.rs,3,0,0,3
src/interfaces/commands/migration.rs,6,0,0,6
src/interfaces/commands/embeddings.rs,3,0,0,3
